"Country or Area","Year","Area","Sex","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","1983","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1978","22969",""
"United States of America","1983","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1978","17658",""
"United States of America","1982","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1987","42401",""
"United States of America","1982","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1987","24073",""
"United States of America","1982","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1987","18328",""
"United States of America","1981","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1983","43305",""
"United States of America","1981","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1983","24452",""
"United States of America","1981","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1983","18853",""
"United States of America","1980","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1983","45526",""
"United States of America","1980","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1983","25804",""
"United States of America","1980","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1983","19722",""
"United States of America","1979","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1979","45665",""
"United States of America","1979","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1978","25980",""
"United States of America","1979","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1978","19685",""
"United States of America","1978","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1979","45945",""
"United States of America","1978","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1979","26088",""
"United States of America","1978","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1979","19857",""
"United States of America","1977","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1979","46975",""
"United States of America","1977","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1979","26875",""
"United States of America","1977","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1979","20100",""
"United States of America","1976","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1978","48265",""
"United States of America","1976","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1978","27320",""
"United States of America","1976","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1978","20945",""
"United States of America","1975","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1976","50525",""
"United States of America","1975","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1976","28812",""
"United States of America","1975","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1976","21713",""
"United States of America","1974","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1976","52776",""
"United States of America","1974","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1976","30305",""
"United States of America","1974","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1976","22471",""
"United States of America","1973","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1975","55581",""
"United States of America","1973","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1975","31986",""
"United States of America","1973","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1975","23595",""
"United States of America","1972","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1974","60182",""
"United States of America","1972","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1974","34710",""
"United States of America","1972","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1974","25472",""
"United States of America","1971","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1974","67981",""
"United States of America","1971","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1974","39098",""
"United States of America","1971","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1974","28883",""
"United States of America","1970","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1971","74667",""
"United States of America","1970","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1973","42847",""
"United States of America","1970","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1973","31820",""
"United States of America","1969","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1970","74062",""
"United States of America","1968","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1969","76263",""
"United States of America","1968","Urban","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1973","42750",""
"United States of America","1968","Rural","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1973","33513",""
"United States of America","1967","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1971","79028",""
"United States of America","1967","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1968","45442",""
"United States of America","1967","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1968","33586",""
"United States of America","1967","Urban","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1971","44341",""
"United States of America","1967","Rural","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1971","34687",""
"United States of America","1966","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1967","85516",""
"United States of America","1966","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1967","49173",""
"United States of America","1966","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1967","36343",""
"United States of America","1966","Urban","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","47803",""
"United States of America","1966","Rural","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","37713",""
"United States of America","1965","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1974","92866",""
"United States of America","1965","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1974","53419",""
"United States of America","1965","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1974","39447",""
"United States of America","1965","Urban","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","51324",""
"United States of America","1965","Rural","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","41542",""
"United States of America","1964","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","99783",""
"United States of America","1964","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1966","57348",""
"United States of America","1964","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1966","42435",""
"United States of America","1964","Urban","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","55051",""
"United States of America","1964","Rural","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","44732",""
"United States of America","1963","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","103390",""
"United States of America","1963","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1966","59734",""
"United States of America","1963","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1966","43656",""
"United States of America","1963","Urban","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","65210",""
"United States of America","1963","Rural","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","38180",""
"United States of America","1962","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","105479",""
"United States of America","1962","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1966","60939",""
"United States of America","1962","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1966","44540",""
"United States of America","1962","Urban","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","66827",""
"United States of America","1962","Rural","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","38652",""
"United States of America","1961","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","107956",""
"United States of America","1961","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1966","62120",""
"United States of America","1961","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1966","45836",""
"United States of America","1961","Urban","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","68220",""
"United States of America","1961","Rural","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","39736",""
"United States of America","1960","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","110873",""
"United States of America","1960","Total","Male","Data tabulated by year of occurrence","Final figure, complete","1966","63936",""
"United States of America","1960","Total","Female","Data tabulated by year of occurrence","Final figure, complete","1966","46937",""
"United States of America","1960","Urban","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","69632",""
"United States of America","1960","Rural","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","41241",""
"United States of America","1959","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","112418",""
"United States of America","1958","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","114448",""
"United States of America","1957","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","112301",""
"United States of America","1956","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","108883",""
"United States of America","1955","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","107514",""
"United States of America","1954","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","107401",""
"United States of America","1953","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","109021",""
"United States of America","1952","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","109973",""
"United States of America","1951","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","107283",""
"United States of America","1950","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","104355",""
"United States of America","1949","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","112057",""
"United States of America","1948","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","1966","113728",""

